series examined          : 1450
events examined          : 3200
priced                   : 236
  not a partition        : 2934
  buckets do not tile    : 14
  legs fetched too far apart : 3
  book missing on a leg  : 13
  series that errored    : 0

verified partitions found : 252
across distinct series    : 187

  series                              events   legs  example
  KXPRESTURKEYR1                           1      3  KXPRESTURKEYR1-28
  KXPUTINDJTLOCATION                       1     10  KXPUTINDJTLOCATION-29
  KXPUTINZELENSKYYLOCATION                 1      8  KXPUTINZELENSKYYLOCATION-28
  KXRELOCATIONCHI                          1      4  KXRELOCATIONCHI-28
  KXRHOUSESEATS                            1     11  KXRHOUSESEATS-27
  KXRPRESPRIMARY                           1     10  KXRPRESPRIMARY-28IA
  KXRTICKET                                1     25  KXRTICKET-28NOV07
  KXSANTACATARINA                          1      5  KXSANTACATARINA-26OCT04
  KXSAXANHMP                               1      4  KXSAXANHMP-26OCT06
  KXSAXONYANHALT                           1      7  KXSAXONYANHALT-26SEP06
  KXSBHOST                                 1     26  KXSBHOST-2031
  KXSCOURT                                 1     39  KXSCOURT-29
  KXSENATEDEMLEAD                          1     13  KXSENATEDEMLEAD-28JAN01
  KXSENATENYD                              1      3  KXSENATENYD-28
  KXSENATEPAD                              1      8  KXSENATEPAD-28
  KXSERBIAPM                               1      6  KXSERBIAPM-27DEC31
  KXSLOVAKIAPARLI                          1      3  KXSLOVAKIAPARLI-27
  KXSPAINPARLI                             1      4  KXSPAINPARLI-27
  KXSPANISHPM                              1      3  KXSPANISHPM-27AUG22
  KXSWEDENPM                               1      4  KXSWEDENPM-26SEP13
  KXTAIWANLOCAL                            1      3  KXTAIWANLOCAL-26NOV28
  KXTAKEOVERACQWB                          1      3  KXTAKEOVERACQWB-27JUN30
  KXTRUMPENDORSE28                         1      6  KXTRUMPENDORSE28-28MAR01
  KXTURKEYPRES                             1     10  KXTURKEYPRES-28
  KXUCLLEAGUE                              1     11  KXUCLLEAGUE-27
  KXUKCABOUT                               1     23  KXUKCABOUT-BURNN28JAN01
  KXUKCOALITION                            1     19  KXUKCOALITION-30JAN01
  KXUSTESTSMATH                            1      3  KXUSTESTSMATH-26
  KXUSTESTSREADING                         1      3  KXUSTESTSREADING-26
  KXVENEZDEFACTO                           1      8  KXVENEZDEFACTO-27JAN01
  KXVICTORIANSTATE                         1      3  KXVICTORIANSTATE-26NOV28
  KXVPRESNOMD                              1     45  KXVPRESNOMD-28
  KXVPRESNOMR                              1     22  KXVPRESNOMR-28
  KXWIDGOV2ND                              1      3  KXWIDGOV2ND-GOVWINOMD26-2
  KXWINNIPEGMAYOR                          1      3  KXWINNIPEGMAYOR-26OCT28
  KXXISUCCESSOR                            1     14  KXXISUCCESSOR-45JAN01
  POWER                                    1      8  POWER-28
  RSENATESEATS                             1     15  RSENATESEATS-27

below a dollar crossing the spread : 16
below a dollar resting at the bid  : 227

cheapest partitions on the venue, by what crossing the spread costs:
  event                          legs     taker     maker   spread     depth
  ------------------------------------------------------------------------------
  KXHUNGARYPRES-27JAN01            11 $  0.2000 $       0 $ 0.2000    563.80
  KXPRESNOMG-28                     6 $  0.7820 $  0.4020 $ 0.3800     10.00
  KXPRESMATCHUP-28NOV07            16 $  0.8120 $  0.5690 $ 0.2430      4.43
  KXVPRESNOMR-28                   22 $  0.8370 $  0.6750 $ 0.1620      0.96
